id,scraped_at,travel_date,from_city,to_city,departure,arrival,price,driver,rating,seats_available,seats_total,seats_booked
220,2026-06-03T08:55:41.541668,2026-06-03,Kurnool,Hyderabad,09:30,12:10,630.0,Vijay,2.0,,3,
221,2026-06-03T08:55:41.541668,2026-06-03,Kurnool,Hyderabad,10:00,13:50,470.0,N/A,,,3,
222,2026-06-03T08:55:41.541668,2026-06-03,Kurnool,Hyderabad,10:00,13:40,500.0,Bunny,3.7,,3,
223,2026-06-03T08:55:41.541668,2026-06-03,Kurnool,Hyderabad,10:00,13:40,500.0,Vg Reddy,3.6,,3,
224,2026-06-03T08:55:41.541668,2026-06-03,Kurnool,Hyderabad,10:00,15:20,500.0,Chiru,0.0,,3,
225,2026-06-03T08:55:41.541668,2026-06-03,Kurnool,Hyderabad,10:00,13:30,500.0,Madhubabu,3.2,,3,
226,2026-06-03T08:55:41.541668,2026-06-03,Kurnool,Hyderabad,10:00,13:50,550.0,Dhanunjay,4.7,,3,
227,2026-06-03T08:55:41.541668,2026-06-03,Kurnool,Hyderabad,10:00,13:30,600.0,Raj,5.0,,3,
228,2026-06-03T08:55:41.541668,2026-06-03,Kurnool,Hyderabad,10:10,14:00,600.0,Ajay,4.3,,3,
229,2026-06-03T08:55:41.541668,2026-06-03,Kurnool,Hyderabad,10:30,14:20,480.0,Rahul,4.7,,3,
230,2026-06-03T08:55:41.541668,2026-06-03,Kurnool,Hyderabad,10:40,14:10,600.0,Deva,0.0,,3,
231,2026-06-03T08:55:41.541668,2026-06-03,Kurnool,Hyderabad,10:50,13:30,560.0,Pasupula,5.0,,3,
232,2026-06-03T08:55:41.541668,2026-06-03,Kurnool,Hyderabad,11:00,14:30,490.0,Mohan,4.5,,3,
233,2026-06-03T08:55:41.541668,2026-06-03,Kurnool,Hyderabad,11:10,14:50,500.0,Anil Kumar,3.9,,3,
234,2026-06-03T08:55:41.541668,2026-06-03,Kurnool,Hyderabad,11:30,14:00,500.0,Kck Mudhiraj,4.4,,3,
235,2026-06-03T08:55:41.541668,2026-06-03,Kurnool,Hyderabad,12:00,15:40,600.0,Sunny,5.0,,3,
236,2026-06-03T08:55:41.541668,2026-06-03,Kurnool,Hyderabad,13:10,17:10,530.0,N/A,,,3,
237,2026-06-03T08:55:41.541668,2026-06-03,Kurnool,Hyderabad,14:00,17:30,500.0,Khadir,3.9,,3,
238,2026-06-03T08:55:41.541668,2026-06-03,Kurnool,Hyderabad,14:00,17:40,500.0,Sampath,4.7,,3,
239,2026-06-03T08:55:41.541668,2026-06-03,Kurnool,Hyderabad,15:00,18:40,500.0,Shaik,4.0,,3,
240,2026-06-03T08:55:41.541668,2026-06-03,Kurnool,Hyderabad,15:00,17:20,590.0,Challa,4.0,,3,
241,2026-06-03T08:55:41.541668,2026-06-03,Kurnool,Hyderabad,15:10,17:50,600.0,Ruhan,5.0,,3,
242,2026-06-03T08:55:41.541668,2026-06-03,Kurnool,Hyderabad,16:00,18:50,600.0,Shreyas,4.9,,3,
243,2026-06-03T08:55:41.541668,2026-06-03,Kurnool,Hyderabad,16:40,19:10,570.0,N/A,,,3,
244,2026-06-03T08:55:41.541668,2026-06-03,Kurnool,Hyderabad,16:50,19:30,620.0,N/A,,,3,
245,2026-06-03T08:55:41.541668,2026-06-03,Kurnool,Hyderabad,17:30,21:00,500.0,Khan,4.2,,3,
246,2026-06-03T08:55:41.541668,2026-06-03,Kurnool,Hyderabad,17:50,20:20,590.0,N/A,,,3,
247,2026-06-03T08:55:41.541668,2026-06-03,Kurnool,Hyderabad,18:30,21:00,630.0,Manjunath,4.9,,3,
248,2026-06-03T08:55:41.541668,2026-06-03,Kurnool,Hyderabad,18:50,21:20,620.0,Chandra,3.7,,3,
249,2026-06-03T08:55:41.541668,2026-06-03,Kurnool,Hyderabad,18:50,21:20,680.0,Shafi,4.1,,3,
250,2026-06-03T08:55:41.541668,2026-06-03,Kurnool,Hyderabad,19:00,21:20,590.0,Instant Booking,,,3,
